location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Kathmandu,105000000,4,3,N/A,N/A,4-0-0-0 Ropani,20 Feet,"Muhanpokhari Budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,80000000,4,5,N/A,2076,0-9-3-3 Aana,13 Feet ,"Shree Marga, Baluwatar, Kathmandu"
Lalitpur,25000000,3,4,2,2076,0-4-2-0 Aana,13 Feet ,"Nakkhudol Bhaisepati, Nakhundol, Lalitpur"
Bhaktapur,32500000,4,4,2,2017,7 Aana,20 Feet ,"Gamcha, Bhaktapur, Bhaktapur"
Kathmandu,21000000,5,3,3,2076,0-3-2-0 Sq. Feet,12 Feet ,"jorpati makalbari near sano pool, Jorpati, Kathmandu"
Chitwan,16000000,3,4,2,N/A,0-0-11.5 Dhur,6 Meter,"Aananda Colony, Bharatpur, Chitwan"
Kathmandu,120000000,0,0,N/A,N/A,1-15-0-0 Aana,20 Feet,"Raniban, Raniban, Kathmandu"
Chitwan,7700000,4,2,2,2017,6 Aana,16 Feet ,"Jerauna, Ratnanagar, Chitwan"
Kathmandu,20000000,7,3,2.5,2067,0-4-1-1 Aana,10 Feet ,"Sundar Tole, Makalbari, Kathmandu"
Bhaktapur,19000000,7,4,3.5,2076,0-3-0-0 Aana,20 Feet ,"Darjeling Height, Sipadol, Bhaktapur"
Kathmandu,33500000,0,4,3,N/A,0-4-0-0 Aana,18 Feet ,"Hepali, Budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,37000000,0,0,N/A,N/A,0-5-0-2 Aana,13 Feet ,"Mhepi, Mhepi, Kathmandu"
Kathmandu,36000000,0,0,N/A,N/A,0-7-2-0 Aana,20 Feet,"Chyasingdol, Pasikot, Kathmandu"
Kathmandu,40000000,8,4,3,2068,0-8-3-0 Sq. Feet,12 Feet ,"Harihar Marg, Dhapasi, Dhapasi, Kathmandu"
Lalitpur,12500000,2,1,1,2076,0-3-0-0 Aana,20 Feet ,"Nearby Cozy Homes, Imadol, Lalitpur"
Lalitpur,19500000,5,3,2.5,2076,0-3-1-0 Aana,20 Feet ,"Nearby Cozy Homes, Imadol, Lalitpur"
Lalitpur,22000000,5,3,2.5,2076,0-3-2-0 Aana,20 Feet ,"Sanagaun Height, Imadol, Lalitpur"
Lalitpur,21500000,4,3,2.5,2076,0-4-0-0 Aana,20 Feet ,"Sanagaun Height, Imadol, Lalitpur"
Lalitpur,19500000,4,3,2.5,2076,0-3-2-0 Aana,20 Feet ,"Sanagaun height, Imadol, Lalitpur"
Lalitpur,19000000,4,3,2.5,2076,0-3-0-0 Aana,13 Feet ,"Nearby, Buddha party palace, Imadol, Lalitpur"
Lalitpur,18000000,4,3,2.5,2076,0-3-0-0 Aana,13 Feet ,"Nearby, Buddha party palace, Imadol, Lalitpur"
Kathmandu,37000000,8,5,3,2077,0-5-1-3 Aana,12 Feet ,"Swoyambhu, Swayambhu, Kathmandu"
Kathmandu,34000000,6,3,3,2077,0-4-0-0 Aana,12 Feet ,"Swoyambhu, Swayambhu, Kathmandu"
Butwal,800000,2,1,1,2020,6.25 Dhur,32 Feet,"Nayagaun, Butwal, Butwal"
Lalitpur,21000000,0,3,3,N/A,0.4.0.0 Aana,12 Feet,"Imadol, near tempo park, Imadol, Lalitpur"
Kathmandu,26000000,8,4,3,2075,0-4-0-2 Aana,16 Feet ,"Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu"
Kathmandu,22000000,5,3,N/A,N/A,0-6-2-0 Aana,10 Feet,"Syuchatar, Syuchatar, Kathmandu"
Kathmandu,23000000,7,3,N/A,N/A,0-4-0-0 Aana,10 Feet,"Phutung Tushal, Kavresthali, Kathmandu"
Kathmandu,25000000,8,4,5,N/A,dont know Sq. Feet,13 Feet ,"Thulo bharyang, Thulo Bharyang, Kathmandu"
Kathmandu,15500000,5,2,N/A,N/A,0-3-2-2 Aana,13 Feet,"Jarankhu, Goldhunga, Kathmandu"
Lalitpur,23500000,6,4,3,2020,3.3aana Aana,10 Feet,"Imadole, Imadol, Lalitpur"
Kathmandu,57500000,0,0,N/A,N/A,0-6-1-0 Aana,12 Feet ,"Maharajgunj Ganeshbasti, Maharajgunj, Kathmandu"
Kathmandu,90000000,5,5,N/A,N/A,0-10-0-0 Aana,20 Feet,"Baluwatar, Baluwatar, Kathmandu"
Kathmandu,17000000,4,3,2.5,2076,0-4-0-0 Aana,10 Feet ,"Nearby L.R.I School., Kalanki, Kathmandu"
