location,Price,bedrooms,bathroom,floor,year_of_construction,size,ft_road,Address
Kathmandu,150000,8,3,3,N/A,4 Aana,16 Feet,"Nil sarswotisthan, Lazimpat, Kathmandu"
Kathmandu,2500000,0,0,N/A,N/A,4 Aana,15 Feet ,"Ganesh Chowk, Budhanilkantha, Kathmandu"
Kathmandu,150000,4,4,3,N/A,6 Aana,16 Feet,"Basbari, Basbari, Kathmandu"
Kathmandu,85000000,7,8,3,2067,14 Aana,14 Feet ,"Na, Basundhara, Kathmandu"
Kathmandu,13000000,0,0,N/A,N/A,0-10-0-0 Aana,13 Feet ,"green village, Ramkot, Kathmandu"
Kathmandu,1050000,0,0,N/A,N/A,0-4-0-0 Aana,13 Feet ,"dahachowk, Dahachowk, khahare, Kathmandu"
Kathmandu,80000,13,0,4,N/A,4 Aana,13 Feet,"Gongabu, Gongabu, Kathmandu"
Kathmandu,370000,17,17,4,2076,6 Aana,20 Feet ,"medical chowk, Khusibu, Kathmandu"
Kathmandu,2600000,0,0,N/A,N/A,4 Aana,22 Feet ,"gumti chowk, Budhanilkantha, Kathmandu"
Kathmandu,150000,4,4,3,N/A,7 Aana,13 Feet,"uttar dokha, Lazimpat, Kathmandu"
Kathmandu,17000000,8,3,10,N/A,3.5 Aana,10 Feet ,"Kapan height, Kapan, Kathmandu"
Kathmandu,18500000,3,3,2.5,2075,0-3-0-0 Aana,14 Feet ,"Buddhachwok, Gothatar, Kathmandu"
Kathmandu,3200000,0,0,N/A,N/A,7 Aana,13 Feet,"deuba chowk, Budhanilkantha, Kathmandu"
Kathmandu,17000000,4,5,3,2076,3 Aana,16 Feet ,"Na, Kapan, Kathmandu"
Pokhara,2500000,0,0,N/A,N/A,12 Ropani,13 Feet ,"BharatPokhari-33, Nirmal Pokhari, Pokhara"
Kathmandu,32500000,8,6,3,2076,4 Aana,20 Feet ,"Na, Mandikatar, Kathmandu"
Kathmandu,29800000,5,5,3,2076,4 Aana,15 Feet ,"NA, Budhanilkantha, Kathmandu"
Pokhara,2500000,0,0,N/A,N/A,30 Ropani,20 Feet ,"Nirmal Pokhari-21, Nirmal Pokhari, Pokhara"
Kathmandu,33500000,5,5,3,2076,5.5 ana Aana,14 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,29900000,7,6,3,2019,5 Aana,20 Feet ,"Sundar Basti Bhangal, Budhanilkantha, Kathmandu"
Kathmandu,49000000,6,6,3,2074,5.3 Aana,14 Feet ,"Na, Basundhara, Kathmandu"
Kathmandu,29900000,5,3,2.5,2076,0-3-0-0 Aana,10 Feet ,"buddhanagar, Buddhanagar, Kathmandu"
Kathmandu,21000000,6,6,3,2074,3 Aana,13 Feet ,"Na, Tokha, Kathmandu"
Kathmandu,100000000,6,6,3,2069,19 Aana,13 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,45000000,5,5,3,N/A,6 ana Aana,13 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,19 Aana,15 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,33500000,6,6,3,2076,4 Aana,14 Feet ,"Na, Tokha, Kathmandu"
Kathmandu,28500000,5,5,3,2076,4 Aana,15 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,50000000,5,5,3,2071,11 Aana,16 Feet ,"Na, Basundhara, Kathmandu"
Kathmandu,35000000,5,5,3,2069,5 Aana,20 Feet ,"Na, Naya Bazar, Kathmandu"
Kathmandu,49000000,5,5,3,2076,8.5 Aana,13 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,39000000,5,5,3,2070,7 Aana,15 Feet ,"Na, Thulo Bharyang, Kathmandu"
Kathmandu,6500000,0,0,N/A,N/A,32 Aana,20 Feet ,"Na, Dhumbarahi, Kathmandu"
Kathmandu,29000000,6,6,3,2074,4 Aana,13 Feet ,"Na, Tokha, Kathmandu"
Kathmandu,44500000,5,5,3,2076,5 Aana,16 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,5500000,0,0,N/A,N/A,5 Aana,15 Feet ,"Na, Maharajgunj, Kathmandu"
Kathmandu,3700000,0,0,N/A,N/A,8 Aana,16 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,29800000,5,5,3,N/A,4.1 Aana,16 Feet ,"Na, Basundhara, Kathmandu"
Kathmandu,5700000,0,0,N/A,N/A,16 Aana,12 Feet ,"Na, Baluwatar, Kathmandu"
Kathmandu,1250000,0,0,N/A,N/A,5/5/6 Aana,20 Feet ,"Na, Jorpati, Kathmandu"
Kathmandu,2000000,0,0,N/A,N/A,0-3-1-3 Aana,12 Feet ,"Bishnudevi , Kalanki, Chandragiri, Kathmandu"
Lalitpur,45000000,3,2,13,2015,1800 Sq. Feet,20 Feet ,"Sanepa, Sanepa, Lalitpur"
Kirtipur,1800000,0,0,N/A,N/A,5-0-0-0 Ropani,20 Feet ,"Chobhar, Machhegaun, Kirtipur"
Kirtipur,2000000,0,0,N/A,N/A,"4,5,6,7,8 aana Aana",13 Feet ,"Chobhar Height, Machhegaun, Kirtipur"
Mahottari,220000,0,0,0,N/A,10935 Sq. Feet,6 Meter ,"Sindhuli, Ratmata, Bardibas, Mahottari"
Jhapa,200000,0,0,N/A,N/A,20 Kattha,20 Feet ,"Sangam Marga, Bhadrapur, Jhapa"
Bara,280000,0,0,N/A,N/A,0-3-0-0 Kattha,0 Feet ,"Simara Bazar, Nijghadh, Bara"
Lalitpur,15000,2,1,3,2075,700 Sq. Feet,14 Feet ,"OCHHU height, Imadol, Lalitpur"
Kathmandu,38700000,6,5,3,2076,0-4-0-0 Aana,15 Feet ,"Bhimsengola, Bhimsengola, Baneshwor, Kathmandu"
Kathmandu,39000000,6,5,3,2019,0-4-0-0 Aana,13 Feet ,"Bhimsengola, Old Baneshwor, Kathmandu"
Lalitpur,1200000,0,0,N/A,N/A,3.3 Aana,20 Feet ,"Dhapakhel, Dhapakhel, Lalitpur"
Kathmandu,15000000,4,2,1.5,2072,0-4-3-0 Aana,18 Feet ,"Green Village Society, Syuchatar, Kathmandu"
Kathmandu,155000000,9,6,5.5,2075,0-14-2-0 Aana,20 Feet ,"Nearby ekdhara chwok, Thulo Bharyang, Kathmandu"
Kathmandu,32500000,4,3,2,N/A,5.75 Aana,11 Feet ,"Subidhanagar,Tinkune, Tinkune, Kathmandu"
Lalitpur,90000000,4,2,2.5,N/A,0-20-0-0 Aana,16 Feet ,"Dhobighat, Dhobighat, Lalitpur"
Kathmandu,15000,2,1,N/A,2019,3 Aana,13 Feet ,"Balaju, Kathmandu, Balaju, Kathmandu"
Lalitpur,150000,5,3,3,2012,10 Aana,17 Meter ,"Setipakha, Hattiban, Lalitpur"
Kathmandu,4500000,0,0,N/A,N/A,0-6-0-0 Aana,15 Feet ,"Ganeshthan Temple, Chabahil, Kathmandu"
Lalitpur,19000000,0,4,3,2074,3.1.2 Aana,13 Feet ,"Ochu Height, Imadol, Lalitpur"
Kathmandu,21000000,6,5,2.5,N/A,0-4-0-0 Aana,14 Feet ,"near Aadeshwor Planning, Sitapaila, Kathmandu"
Lalitpur,21500000,5,3,2.5,2076,0-3-1-0 Aana,20 Feet ,"Opposite of green hill city, Imadol, Lalitpur"
Lalitpur,22500000,6,3,2.5,2076,0-3-2-0 Aana,20 Feet ,"Opposite of Green Hill city, Imadol, Lalitpur"
Kathmandu,35000000,4,4,2,N/A,0-7-0-0 Aana,20 Feet ,"Golfutar, Budhanilkantha, Golfutar, Kathmandu"
Kathmandu,60000000,5,4,2,N/A,0-14-0-0 Aana,16 Feet ,"Mandikatar Height Near Hams Hospital, Mandikatar, Kathmandu"
Kathmandu,75000000,0,4,2,N/A,0-11-0-0 Aana,18 Feet ,"Dhumbarahi, Inside Ring Road, Dhumbarahi, Kathmandu"
Kathmandu,36500000,4,3,2,2076,0-5-0-0 Aana,15 Feet ,"Basundhara, Shree Tol, Basundhara, Kathmandu"
Kathmandu,37500000,4,3,2,N/A,0-5-0-0 Aana,15 Feet ,"Hattigauda, Near Highway, Hattigauda, Kathmandu"
Kathmandu,3800000,0,0,N/A,N/A,"0-8,9,10-0-0 Aana",16 Feet ,"Budhanilkantha Inside Siddhartha Colony, Budhanilkantha, Kathmandu"
Kathmandu,5700000,0,0,N/A,N/A,1-0-0-0 Ropani,15 Feet ,"Baluwatar Near Alice Restaurant, Baluwatar, Kathmandu"
Kathmandu,25000000,4,3,2,2076,0-3.1-0-0 Aana,12 Feet ,"Greenland Tokha Near Grande, Tokha, Kathmandu"
Kathmandu,38500000,0,4,2,2076,0-6.5/8-0-0 Aana,16 Feet ,"Greenland, Tokha, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,0-6-0-0 Aana,20 Feet ,"Rudreshwor, Budhanilkantha, (road - 20 Ft.), Budhanilkantha, Kathmandu"
Kathmandu,24000000,4,3,2,2076,0-4-0-0 Aana,14 Feet ,"Bhangal sangyukta buspark , budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,35500000,4,3,3,2076,0-4.75-0-0 Aana,15 Feet ,"Basundhara, Shree Tol, Basundhara, Kathmandu"
Kathmandu,110000000,4,4,N/A,N/A,1-0-0-0 Ropani,16 Feet ,"Chapali, Chapali, Kathmandu"
Kathmandu,55000000,4,3,N/A,N/A,0-5-0-0 Aana,15 Feet ,"Bishalnagar, Hadigaun, Kathmandu"
Kathmandu,35500000,4,4,2,N/A,0-5.5-0-0 Aana,15 Feet ,"Hattigauda, Hattigauda, Kathmandu"
Kathmandu,29500000,4,3,2,2076,0-4-0-0 Aana,13 Feet ,"Baniyatar, Tokha, Tokha, Kathmandu"
Kathmandu,49500000,0,4,2,N/A,0-8.2--0 Aana,16 Feet ,"Pasikot, Budhanilkantha, Highway bata 800 meter west., Pasikot, Kathmandu"
Kathmandu,95000000,0,4,2,N/A,0-17.3-0- Aana,15 Feet ,"Sukedhara Chowk , Colony Bhitra, Sukedhara, Kathmandu"
Kathmandu,28000000,4,3,2,2076,0-4.5-0-0 Aana,14 Feet ,"Jyotinagar, Baluwakhani, Kapan, Kathmandu"
Kathmandu,45000000,4,4,N/A,N/A,0-7-0-0 Aana,16 Feet ,"Siddhartha Colony, Budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,80000000,0,4,N/A,N/A,0-21-0-0 Aana,16 Feet ,"Pasikot, 800 M From Main Highway, Pasikot, Kathmandu"
Kathmandu,35000000,4,4,2,N/A,0-5-0-0 Aana,15 Feet ,"Dhapasi Height, Dhapasi, Kathmandu"
Kathmandu,57500000,4,4,2,N/A,0-12-0-0 Aana,16 Feet ,"Location: Kathmandu > Chapali (Budhanilkantha), Chapali, Kathmandu"
Kathmandu,300000000,4,4,N/A,N/A,0-52-0-0 Aana,20 Feet ,"Dhumbarahi, 150 Mtr From Ring Road., Dhumbarahi, Kathmandu"
Kathmandu,55000000,4,4,2,N/A,0-9-0-0 Aana,20 Feet ,"Hepali Height, Golfutar., Golfutar, Kathmandu"
Kathmandu,67500000,4,4,N/A,N/A,0-9-0-0 Aana,20 Feet ,"Maharajgunj In Above 20 Feet Road., Maharajgunj, Kathmandu"
Kathmandu,55000000,4,3,2,N/A,0-8-0-0 Aana,14 Feet ,"Maharajgunj Just Behind Australian Embassy, Maharajgunj, Kathmandu"
Kathmandu,35000000,6,3,2,2076,0-5-0-0 Aana,15 Feet ,"Samakhusi, Only 150 Meters From Ring Road, Samakhusi, Kathmandu"
Kathmandu,36000000,5,4,2,N/A,0-6-0-0 Aana,15 Feet ,"Budhanilkantha, 100 Mtrs From Main Road, Budhanilkantha, Kathmandu"
Kathmandu,26000000,4,3,2,2076,0-4-0-0 Aana,14 Feet ,"Kapan Height, Kapan, Kathmandu"
Kathmandu,47500000,5,4,2,N/A,0-9-0-0 Aana,16 Feet ,"Golfutar, Hepali Height, Golfutar, Kathmandu"
Kathmandu,18200000,5,5,3,2076,3.2 Aana,13 Feet ,"Na, Kapan, Kathmandu"
Kathmandu,200000,13,5,3.5,N/A,0-10-0-0 Aana,16 Feet ,"Bishal Basti, Bishal Nagar, Kathmandu"
Kathmandu,26000000,6,5,3,2076,4 Aana,14 Feet ,"Na, Kapan, Kathmandu"
Kathmandu,39000000,5,5,3,2070,7 Aana,14 Feet ,"Na, Swayambhu, Kathmandu"
Kathmandu,2300000,0,0,N/A,N/A,5.1 Aana,12 Feet ,"thapachowk, Sitapaila, Kathmandu"
Kathmandu,120000,4,4,2,N/A,8 Aana,14 Feet ,"Mandikhatar, Mandikatar, Kathmandu"
Kathmandu,33500000,5,5,3,2076,5.5 Aana,13 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,39900000,5,6,3,2069,7 Aana,14 Feet ,"Na, Basundhara, Kathmandu"
Lalitpur,18000000,3,2,4,N/A,1259 Sq. Feet,0 Feet,"Westar Apartment, Balkumari, Lalitpur"
Kathmandu,32500000,8,7,4,2076,4 Aana,20 Feet ,"Na, Mandikatar, Kathmandu"
Kathmandu,29000000,5,5,3,2075,5 Aana,14 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,2600000,0,0,N/A,N/A,4 Aana,15 Feet,"Grande Hospital, Tokha, Kathmandu, Tokha, Kathmandu"
Kathmandu,36000000,5,5,3,2070,6 Aana,13 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,47500000,4,5,3,2070,9 Aana,15 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,28000000,0,0,N/A,N/A,4 Aana,12 Feet ,"Manamaiju, Gongabu, Kathmandu, Tarkeshwor, Kathmandu"
Kathmandu,4000000,0,0,N/A,N/A,1-12-0-0 Ropani,210 Feet ,"Khadka Bhadrakali, Ward #7, Budhanilkantha, Kathmandu"
Lalitpur,15000000,5,3,2.5,2076,0-2-2-0 Aana,13 Feet ,"sital height, Imadol, Lalitpur"
Lalitpur,20000000,6,3,2.5,2076,0-3-2-0 Aana,13 Feet ,"Sital height, Imadol, Lalitpur"
Kathmandu,23000000,6,5,3,2076,3.5 Aana,13 Feet ,"Na, Samakhusi, Kathmandu"
Lalitpur,18500000,5,2,2.5,2076,0-3-2-0 Aana,13 Feet ,"Sital height, Imadol, Lalitpur"
Kathmandu,24500000,6,5,3,2076,4 Aana,22 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,23800000,6,6,3,2076,4 Aana,18 Feet ,"Na, Bhangal, Kathmandu"
Kathmandu,39000000,6,6,3,2076,6.5 Aana,15 Feet ,"Na, Grande Villa, Kathmandu"
Kathmandu,31000000,5,5,3,2076,4.5 Aana,14 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,29000000,6,5,3,2076,4 Aana,13 Feet ,"Na, Tokha, Kathmandu"
Kathmandu,25000000,6,5,3,2076,3.5 Aana,13 Feet ,"Na, Grande Villa, Kathmandu"
Kathmandu,56000000,5,5,3,2071,8 Aana,15 Feet ,"Na, Maharajgunj, Kathmandu"
Kathmandu,67500000,5,5,3,2070,9 Aana,20 Feet ,"Na, Maharajgunj, Kathmandu"
Kathmandu,4000000,0,0,N/A,N/A,11 Aana,13 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,6 Aana,15 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,37500000,6,6,3,2076,3.75 Aana,13 Feet ,"Na, Samakhusi, Kathmandu"
Kathmandu,350000,6,6,3,2076,22 Aana,16 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,4200000,0,0,N/A,N/A,8 Aana,13 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,35000000,6,5,3,2076,4.75 Aana,13 Feet ,"Na, Samakhusi, Kathmandu"
Lalitpur,22000000,5,3,2.5,2076,0-3-2-0 Aana,20 Feet ,"Sanagau height, Imadol, Lalitpur"
Lalitpur,19500000,5,3,2.5,2076,0-3-2-0 Aana,13 Feet ,"Tikathali, Buddha colony, Imadol, Lalitpur"
Lalitpur,17000000,5,3,2.5,N/A,0-3-2-0 Aana,20 Feet ,"Kantipur college, Lubhu, Lalitpur"
Lalitpur,17500000,6,4,2.5,2076,0-3-0-2 Aana,16 Feet ,"Sanagau height, Imadol, Lalitpur"
Kathmandu,850000,0,1,N/A,2005,500sqft Sq. Feet,25 Meter ,"Durbarmarg, Durbar Marg, Kathmandu"
Kathmandu,4500000,0,0,N/A,N/A,12 Aana,15 Feet ,"Mhepi Jana marga, Mhepi, Kathmandu"
Lalitpur,17500000,5,3,2.5,2076,0-3-0-2 Aana,13 Feet ,"Buddha Colony, Imadol, Lalitpur"
Dhading,10000000,4,3,2,N/A,0-4-0-2 Aana,7 Feet ,"Nilkantha Nagarpalika -3, Dhading, Dhading"
Kathmandu,22000000,0,0,N/A,N/A,0-3-1-0 Aana,20 Feet ,"manamaiju, Manamaiju, Kathmandu"
Kathmandu,25000,2,1,N/A,N/A,5 Aana,0 Feet,"Fulbari, Budhanilkantha, Kathmandu"
Kathmandu,22000000,11,3,2.5,2073,0-6-0-0 Aana,11 Feet ,"Naikap, Naikap, Kathmandu"
Lalitpur,19000000,4,3,N/A,2076,3.5 Aana,0 Feet,"imadol -4 lalitpur, Imadol, Lalitpur"
Kathmandu,1950000,0,0,N/A,N/A,3-1 Aana,12 Feet,"Ichangu, Swayambhu, Kathmandu"
Kathmandu,120000000,0,0,5,N/A,0-3-2-1 Aana,30 Feet ,"Putalisadak, Putalisadak, Kathmandu"
Kathmandu,5750000,0,0,N/A,N/A,1-5-2-0 Aana,16 Feet ,"Bafal, Kalanki, Kathmandu"
Lalitpur,1600000,0,0,N/A,N/A,0-5-1-1 Aana,16 Feet ,"Mahalaxmi, Lubhu, Lalitpur"
Kathmandu,22000000,5,2,2.5,2076,0-2-3-0 Aana,13 Feet ,"Narepthat- 32, Jadibuti., Narephate, Kathmandu"
Kathmandu,2500000,0,0,N/A,N/A,0-4-2-0 Aana,13 Feet ,"Baba Chowk Mulpani, Mulpani, Kathmandu"
Lalitpur,3000000,0,0,N/A,N/A,0-3-3-1 Aana,13 Feet ,"imadol -4 lalitpur, Imadol, Lalitpur"
Kathmandu,17500000,5,4,3,N/A,3.1 Aana,15 Feet,"Sitapaila harisiddhi, Nagarjun, Kathmandu"
Kathmandu,400000,0,0,N/A,N/A,1-0-0-0 Ropani,16 Feet ,"Khichapokhari, Newroad, Kathmandu"
Lalitpur,18000000,4,3,2,2076,0-3-0-2 Aana,0 Feet,"Imadol near buddha party palace, Imadol, Lalitpur"
Kathmandu,34000000,5,4,N/A,N/A,6 Aana,14 Feet,"Khahare Chowk, Pepsicola, Kathmandu"
Kathmandu,26300000,5,0,N/A,N/A,4 Aana,13 Feet,"Tokha, Kathmandu, Tokha, Kathmandu"
Kathmandu,37000000,6,0,N/A,2076,4-5 Aana,13 Feet,"Basundhara, Kathmandu, Basundhara, Kathmandu"
Kathmandu,21000000,4,3,2,N/A,0-4-3-2/145.61 Aana,12 Feet,"Chaising tole, Tokha, Kathmandu"
Lalitpur,17000000,4,3,2.5,2076,0-3-1-2 Aana,13 Feet ,"Sital Height, Imadol, Lalitpur"
Pokhara,700000,0,0,N/A,N/A,2 Aana,0 Feet,"Masbar pokhara, Dam Side, Pokhara"
Lalitpur,2400000,0,0,N/A,N/A,0-3-1-1 Aana,20 Feet ,"sital height, planning, Imadol, Lalitpur"
Lalitpur,17000000,8,3,2.5,2076,0-3-0-0 Aana,13 Feet ,"Ochu height, Koreran college, Imadol, Lalitpur"
Lalitpur,2800000,0,0,N/A,N/A,0-3-3-0 Aana,10 Feet ,"NayaBasti, Imadol, Lalitpur"
Kathmandu,16000000,4,3,N/A,2076,3 Aana,12 Feet ,"Suryadarsan Height, Tokha, Kathmandu, Tokha, Kathmandu"
Lalitpur,150000,3,3,0,2072,2000 Sq. Feet,26 Feet ,"Imperial Court, Sanepa, Lalitpur"
Lalitpur,22000000,10,3,3,N/A,0-3-3-0 Aana,13 Feet ,"Gumba, Imadol, Lalitpur"
Lalitpur,65000,0,0,4,N/A,0-6-1-2 Aana,22 Meter ,"Imadol 1, Imadol, Lalitpur"
Kathmandu,11500000,2,1,1,2073,0-4-0-0 Aana,13 Feet ,"Sychataar, Tarakeshwar, Kathmandu"
Chitwan,1850000,0,0,N/A,N/A,20.2 Ropani,8 Meter ,"Bijayanagar, Bharatpur, Chitwan"
Kirtipur,2100000,0,0,N/A,N/A,0-5-0-0 Aana,13 Feet ,"Panga, Machhegaun, Kirtipur"
Lalitpur,19700000,4,4,3,2076,3.5 Aana,13 Feet,"imadol -4 lalitpur, Imadol, Lalitpur"
Kathmandu,29000000,6,5,3,2076,4 Aana,20 Feet ,"Na, Baniyatar, Kathmandu"
Kathmandu,290000000,6,5,2,2068,55 Anand Aana,15 Feet ,"Na, Mandikatar, Kathmandu"
Kathmandu,45000000,6,6,3,2075,8.5 Aana,13 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,36000000,4,5,3,2075,7 Aana,30 Feet ,"Na, Golfutar, Kathmandu"
Kathmandu,35500000,5,5,3,2075,5.5 Aana,13 Feet ,"Na, Hattigauda, Kathmandu"
Kathmandu,6100000,0,0,3,N/A,0-3-0-1 Aana,16 Feet ,"Hanuman chowk marga, Lainchaur, Kathmandu"
Jhapa,600000,0,0,N/A,N/A,18 Kattha,60 Feet ,"Damak, Damak, Jhapa"
Kathmandu,24100000,3,3,3,2068,2.75 Aana,13 Feet ,"Thulobharang,Ekdhara, Thulo Bharyang, Kathmandu"
Bhaktapur,15500000,4,2,N/A,2073,3 Aana,13 Feet ,"124, Balkot, Bhaktapur"
Kathmandu,40000000,5,5,3,2076,7.5 Aana,20 Feet ,"Na, Budhanilkantha, Kathmandu"
Kathmandu,17500000,5,3,7,2075,0-0-2 Paisa,26 Feet ,"Goshiphal Marg, Ason, Kathmandu"
Lalitpur,20000000,3,2,3,2070,3 Aana,20 Feet ,"Comfort Housing, Thaiba, Lalitpur"
Lalitpur,18000000,5,3,3,2019,3.1 Aana,13 Feet ,"Hattiban, Lalitpur, Imadol, Lalitpur"
Lalitpur,35000000,18,16,3,2076,0-6-2-0 Aana,12 Feet ,"Nepal Cancer Hospital, Harisiddhi, Lalitpur"
Kathmandu,17000000,0,0,N/A,N/A,3 Aana,12 Feet,"Gongabu, Manamaiju, Kathmandu"
Lalitpur,100,0,15,6,2019,0-14-0-0 Aana,9 Meter ,"Lagankhel-5, Lagankhel, Lalitpur"
Kathmandu,26000000,4,3,2.5,2076,0-3-2-0 Aana,13 Feet ,"Dhaneshwor Temple, Gongabu, Kathmandu"
Kathmandu,4500000,0,0,N/A,N/A,0-5-2-0 Aana,12 Feet ,"Dharmasthali Marga, Koteshwor, Kathmandu"
Bardiya,3650000,4,1,N/A,2074,1 Kattha,14 Feet ,"Bardiya, Guleriya, Bardiya"
Lalitpur,3100000,0,0,N/A,N/A,0-3-2-0 Aana,7 Feet ,"Kantipur Colony, Nakhipot, Lalitpur"
Kathmandu,25500000,5,6,3,2076,3.5 Aana,13 Feet ,"Na, Dhapasi, Kathmandu"
Lalitpur,350000,0,0,N/A,N/A,27 Aana,24 Feet ,"Godawari 6, Lele, Lalitpur"
Kathmandu,68000000,5,5,3,2076,12 Aana,15 Feet ,"Na, Chapali, Kathmandu"
Kathmandu,21500000,6,5,3,2076,3.5 Aana,20 Feet ,"Na, Bhangal, Kathmandu"
Kathmandu,18200000,6,0,3,2076,3 Aana,13 Feet ,"Na, Mandikatar, Kathmandu"
Kathmandu,80000000,4,4,3,2072,21 Aana,14 Feet ,"Na, Pasikot, Kathmandu"
Kathmandu,19900000,6,5,3,2076,3.1 Aana,12 Feet ,"Man, Bhangal, Kathmandu"
Kathmandu,72000000,5,5,3,2070,17 Aana,15 Feet ,"Man, Dhapasi, Kathmandu"
Kathmandu,60000000,5,5,3,2076,6 Aana,13 Feet ,"NA, Baluwatar, Kathmandu"
Kathmandu,57500000,6,5,3,2075,12 Aana,15 Feet ,"NA, Budhanilkantha, Kathmandu"
Kathmandu,66000000,5,5,3,2071,14 Aana,20 Feet ,"NA, Dhapasi, Kathmandu"
Kathmandu,29900000,7,5,3,2076,4 Aana,13 Feet ,"NA, Ekatabasti, Kathmandu"
Kathmandu,29900000,7,7,3,2076,4 Aana,13 Feet ,"Man, Ekatabasti, Kathmandu"
Kathmandu,33500000,4,4,3,2072,5 Aana,20 Feet ,"Na, Dhapasi, Kathmandu"
Lalitpur,37500000,5,4,N/A,2075,0-4-3-0 Aana,16 Feet ,"i.j pioneer school, Hattiban, Lalitpur"
Kathmandu,2300000,0,0,N/A,N/A,0-3-3-0 Aana,12 Feet,"Dallu, Swayambhu, Kathmandu"
Kathmandu,2250000,0,0,N/A,N/A,0-4-0-0 Aana,20 Feet ,"Gurjudhara, Gurujudhara, Kathmandu"
Kathmandu,23000000,3,2,3,N/A,0-4-5-0 Aana,20 Feet,"Tinthana, Balkhu, Kathmandu"
Kathmandu,20600000,5,3,3,2076,3.1 Aana,13 Feet ,"Na, Swayambhu, Kathmandu"
Kathmandu,26000000,5,3,3,2015,4 Aana,26 Feet ,"Khahare-Gothatar near mahantar chowk, Kageshwari-Manohara, Kathmandu"
Kathmandu,65000000,5,5,N/A,2076,8 Aana,20 Feet ,"NA, Dhapasi, Kathmandu"
Kathmandu,400000000,6,6,3,2073,4.9.0.0 Aana,20 Feet ,"na, Budhanilkantha, Kathmandu"
Kathmandu,45000000,4,5,3,2075,7 Aana,15 Feet ,"na, Budhanilkantha, Kathmandu"
Kathmandu,3500000,0,0,N/A,N/A,4.5 Aana,13 Feet ,"na, Hattigauda, Kathmandu"
Kathmandu,1350000,0,0,N/A,N/A,4/4/5/5/6 Aana,20 Feet ,"na, Thali, Kathmandu"
Kathmandu,600000,0,0,N/A,N/A,58 Aana,18 Feet ,"27.7154959, 85.1985274, Nagdhunga, Kathmandu"
Kathmandu,28500000,8,3,3,2073,0-4-0-0 Aana,16 Feet ,"Nayabasti, planing, Guheshwori, Kathmandu"
Lalitpur,35000,4,3,2,2019,4 Aana,5 Meter ,"24, Godawari, Lalitpur"
Kathmandu,40000000,0,0,2.5,2076,0-5-0-0 Aana,13 Feet ,"army medical college, Sanobharyang, Kathmandu"
Kathmandu,400000,11,8,6,2016,8 Aana,12 Feet,"Jogin Pakha Marg, Thamel, Kathmandu"
Lalitpur,19000000,0,0,N/A,2076,3-4 Aana,0 Feet,"Imadol, Lalitpur, Imadol, Lalitpur"
Kathmandu,70000,2,1,6,2016,8 Aana,12 Feet ,"Jogin Pakha Marg, Paknajol, Kathmandu"
Lalitpur,11000000,2,1,1,N/A,2-3 Aana,13 Feet,"Imadol, Lalitpur, Imadol, Lalitpur"
Lalitpur,19200000,4,5,3,2018,0-3-0-1 Aana,20 Feet ,"Imadol, Imadol, Lalitpur"
Kathmandu,36000000,5,5,3,2074,5.5 Aana,13 Feet ,"na, Ekatabasti, Kathmandu"
Kathmandu,20500000,4,4,N/A,2074,4 Aana,15 Feet ,"na, Sitapaila, Kathmandu"
Chitwan,900000,0,0,N/A,N/A,9 Dhur,10 Feet ,"milanchok, Bharatpur, Chitwan"
Kathmandu,45000,2,2,N/A,N/A,1044 Sq. Feet,10 Feet ,"Bishalnagar, Bishal Nagar, Kathmandu"
Lalitpur,150000,3,4,N/A,N/A,0-5-2-0 Aana,8 Meter ,"Thadodhunga, Jhamsikhel, Lalitpur"
Kathmandu,18000000,4,4,3,2075,3.1 Aana,13 Feet ,"Sitapaila, Sitapaila, Kathmandu"
Kathmandu,72000000,5,5,3,2075,13 Aana,15 Feet ,"Budhanilkantha, Budhanilkantha, Kathmandu"
Kathmandu,23000000,6,5,3,2075,4 Aana,13 Feet ,"Surya Darshan Height, Tokha, Kathmandu"
Kathmandu,19900000,6,4,3,2073,3.1 Aana,13 Feet ,"Mandikatar, Mandikatar, Kathmandu"
